t,month,monthlyAvg,year
1,12,482,2015
2,1,421.1935484,2016
3,2,440.7916667,2016
4,3,428.3870968,2016
5,4,424.3666667,2016
6,5,428.5454545,2016
7,6,450.9,2016
8,7,479.5,2016
9,8,,2016
10,9,,2016
11,10,,2016
12,11,,2016
13,12,460.1666667,2016
14,1,425.9354839,2017
15,2,419.3928571,2017
16,3,396.8387097,2017
17,4,425.0666667,2017
18,5,414.8387097,2017
19,6,467.5862069,2017
20,7,480.826087,2017
21,8,417.0333333,2017
22,9,409.3,2017
23,10,421.6333333,2017
24,11,429.4827586,2017
25,12,456.5333333,2017
26,1,432.1290323,2018
27,2,423.2857143,2018
28,3,439.1935484,2018
29,4,445.2666667,2018
30,5,422.0645161,2018
31,6,434.1333333,2018
32,7,411.6129032,2018
33,8,429.9677419,2018
34,9,384.9,2018
35,10,383.9333333,2018
36,11,374.5172414,2018
37,12,383.1785714,2018
38,1,413.5357143,2019
39,2,355.1111111,2019
40,3,382.9565217,2019
41,4,387.826087,2019
42,5,429.0333333,2019
43,6,417.9655172,2019
44,7,416.6153846,2019
45,8,453.1176471,2019
46,9,375.8275862,2019
47,10,402.7741935,2019
48,11,398.2857143,2019
49,12,399.6923077,2019
50,1,412.7142857,2020
51,2,419.5416667,2020
52,3,402.1428571,2020
53,4,452.1666667,2020
54,5,446,2020
55,6,456.8148148,2020
56,7,426.4516129,2020
57,8,409.2580645,2020
58,9,413.2666667,2020
59,10,382.516129,2020
60,11,409.862069,2020
61,12,375.7777778,2020
62,1,487,2021
63,2,373.5,2021
64,3,,2021
65,4,,2021
66,5,,2021
67,6,414.8928571,2021
68,7,373.4666667,2021
69,8,423.4736842,2021
70,9,388.1,2021
71,10,363.48,2021
72,11,407.2962963,2021
73,12,425.8571429,2021
